"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"908","PA31_L_28_O2",217.803922227091,0.0617984266416362,28.3774647058824
"909","PA32_L_28_O2",185.121041610949,0.0246035608619685,28.3705588235294
"910","PA35_L_28_O2",195.758542810579,0.0429389054448377,28.1147411764706
"911","BLANK7_L_30_O2",186.408008417459,-0.00241505480452448,30.1683
"912","BLANK8_L_30_O2",161.076602967033,-0.00230119923554708,30.2087294117647
"913","PA19_L_30_O2",174.908921486391,0.0401958304637011,30.1974941176471
"914","PA20_L_30_O2",185.480484220734,0.0297938922539313,29.9749941176471
"915","PA23_L_30_O2",177.832977712005,0.0329211268919759,30.3140117647059
"916","PA25_L_30_O2",183.087672747869,0.0245383320746575,30.2548352941176
"917","PA29_L_30_O2",233.17372231223,0.0859294787273794,30.3470941176471
"918","PA31_L_30_O2",213.912121994976,0.0651712790715595,30.2905235294118
"919","PA32_L_30_O2",179.801393825271,0.0245603965666378,30.3198771929825
"920","PA35_L_30_O2",188.582380510534,0.043018810857729,29.9970117647059
"921","BLANK7_L_31_O2",179.361154029561,-0.00249957461892944,31.0158705882353
"922","BLANK8_L_31_O2",154.577375140579,-0.00228998045073146,31.0670647058824
"923","PA19_L_31_O2",171.868618744975,0.0404246458410503,31.0355705882353
"924","PA20_L_31_O2",178.931451318681,0.0291630148112757,30.8692352941176
"925","PA23_L_31_O2",169.162833699382,0.0337396488819853,31.2016352941176
"926","PA25_L_31_O2",178.552477021716,0.0238646394278933,31.1774882352941
"927","PA29_L_31_O2",215.836972776074,0.0866468191895844,31.2608764705882
"928","PA31_L_31_O2",207.456888044944,0.0659089769993439,31.1981941176471
"929","PA32_L_31_O2",175.835838573596,0.0257272263656162,31.1946352941176
"930","PA35_L_31_O2",178.431722914928,0.0432418195097307,30.8651352941176
"931","BLANK7_L_32_O2",170.652064536658,-0.00241095775449956,31.9310529411765
"932","BLANK8_L_32_O2",147.687181688137,-0.00237961929456317,32.0713705882353
"933","PA19_L_32_O2",151.569188863154,0.0376727152224161,32.1233705882353
"934","PA20_L_32_O2",164.531678778272,0.0258364939655788,31.9396823529412
"935","PA23_L_32_O2",156.39993851614,0.0327950668806849,32.1350764705882
"936","PA25_L_32_O2",158.493416862591,0.0220311520376175,32.2479235294118
"937","PA29_L_32_O2",189.514008717521,0.0855988855722702,32.3172705882353
"938","PA31_L_32_O2",183.688598347188,0.0644690509316332,32.2215352941176
"939","PA32_L_32_O2",161.049812962042,0.0223097344657367,32.2015882352941
"940","PA35_L_32_O2",172.207295277494,0.0323118045624787,31.9584
"941","BLANK7_L_35_O2",157.054397605754,-0.00216242558040166,34.6899883040936
"942","BLANK8_L_35_O2",135.237316565667,-0.00211911021017819,34.9993157894737
"943","PA19_L_35_O2",138.651713983921,0.0207481311069882,34.8508538011696
"944","PA20_L_35_O2",130.520927853211,0.0145283507691186,34.5645263157895
"945","PA23_L_35_O2",132.803019223716,0.0174477588478437,34.8865847953216
"946","PA25_L_35_O2",132.558786884576,0.0122225127681307,35.0793625730994
"947","PA29_L_35_O2",155.265699776521,0.0587256739053373,35.1449824561404
"948","PA31_L_35_O2",149.388307209479,0.0446395665209696,35.0662923976608
"949","PA32_L_35_O2",137.690509359129,0.0128942762630313,35.0202222222222
"950","PA35_L_35_O2",143.902085487995,0.02414853940586,34.6802397660819
"951","BLANK7_L_37_O2",145.622200207506,-0.00201919205298014,36.5925941176471
"952","BLANK8_L_37_O2",126.079555619872,-0.00243994063079779,36.8260176470588
"953","PA19_L_37_O2",119.54407205104,0.00517661163262419,36.6619941176471
"954","PA20_L_37_O2",128.140245913486,0.000421080239633954,36.4888882352941
"955","PA23_L_37_O2",112.689646440398,0.00395741827444689,36.6718058823529
"956","PA25_L_37_O2",126.8201400624,-0.00413976342809308,36.9816235294118
"957","PA29_L_37_O2",147.381874618717,0.0328027526328766,36.834
"958","PA31_L_37_O2",150.137904782301,0.0252157516864003,37.0323588235294
"959","PA32_L_37_O2",123.890795856824,0.00400403169294475,36.7332046783626
"960","PA35_L_37_O2",132.180371702128,0.0144132922732362,36.5049824561404
"961","BLANK10_L_20_O2",217.256768068952,-0.000713319779524704,20.176761627907
"962","BLANK9_L_20_O2",220.730345434946,-0.000747197225346848,20.1795581395349
"963","PA37_L_20_O2",227.394340231042,0.0216619515863636,20.4420930232558
"964","PA39_L_20_O2",242.744004493096,0.0274497743489945,20.528761627907
"965","PA41_L_20_O2",221.149626790092,0.0181986440245148,20.3536976744186
"966","PA42_L_20_O2",215.465822897995,0.0138941029454173,20.3683197674419
"967","PA46_L_20_O2",212.765009869335,0.0261026318228153,20.4020058139535
"968","PA49_L_20_O2",220.992084143164,0.0209054973886329,20.2168953488372
"969","PA50_L_20_O2",198.141840301003,0.0187763782500809,20.3981569767442
"970","PA53_L_20_O2",206.775112150553,0.024992453110829,20.389226744186
"971","BLANK10_L_24_O2",208.375465685154,-0.00125728286980194,24.4243294117647
"972","BLANK9_L_24_O2",210.678435065047,-0.00120537540375,24.4322588235294
"973","PA37_L_24_O2",203.886656261318,0.0423335859423595,24.3888470588235
"974","PA39_L_24_O2",222.018299274693,0.0419406499185457,24.5272352941176
"975","PA41_L_24_O2",220.760851606243,0.0300525930851064,24.5401470588235
"976","PA42_L_24_O2",203.784064598625,0.0227521371552975,24.4547176470588
"977","PA46_L_24_O2",201.766658491172,0.037848303905832,24.5324588235294
"978","PA49_L_24_O2",208.57654717368,0.0275404242476134,24.2893647058824
"979","PA50_L_24_O2",192.924569330507,0.0279374453636251,24.5437117647059
"980","PA53_L_24_O2",204.452325588961,0.036941577329281,24.6042529411765
