date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190708,HH,A,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.3,,,,0.2,0.2,,,0.6,0.2,1
20190708,HH,A,2,2,30,,,,,,,,,,,,0.2,,,,,,,,,,,,,,0.1,,,,,0.3,,,,,0.1,0.1,0.2,,0.6,0.3,1
20190708,HH,A,2,2,31,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.9,0.05,0.95,1
20190708,HH,A,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.7,,,,,,,0.1,,0.9,0.1,1
20190708,HH,A,2,2,33,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.1,,0.2,0.6,0.05,0.8,1
20190708,HH,A,2,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.2,0.4,0.4,0.6,1
20190708,HH,A,2,2,35,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.1,,,,,0.1,,0.6,,0.2,0.6,1
20190708,HH,A,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.1,,0,1,1
20190708,HH,A,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.1,,0.8,,0.1,0.8,1
20190708,HH,A,2,2,38,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.1,0.2,,0.6,0.3,1
20190708,HH,A,2,2,39,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
